"","UniProt_ID","Tissue_specificity"
"378","Q10589","Predominantly expressed in liver, lung, heart and placenta"
"379","Q10589","Lower levels in pancreas, kidney, skeletal muscle and brain"
"380","Q10589","Overexpressed in multiple myeloma cells"
"381","Q10589","Highly expressed during B-cell development, from pro-B precursors to plasma cells"
"382","Q10589","Highly expressed on T-cells, monocytes, NK cells and dendritic cells (at protein level)"
"383","Q12805","In the eye, associated with photoreceptor outer and inner segment regions, the nerve fiber layer, outer nuclear layer and inner and outer plexiform layers of the retina"
"384","Q12860","Strongly expressed in brain and in neuroblastoma and retinoblastoma cell lines"
"385","Q12860","Lower levels of expression in lung, pancreas, kidney and skeletal muscle"
"386","Q12864","Expressed in the gastrointestinal tract and pancreatic duct"
"387","Q12864","Not detected in kidney, lung, liver, brain, adrenal gland and skin"
"388","Q12884","Expressed in adipose tissue"
"389","Q12884","Expressed in the dermal fibroblasts in the fetal skin"
"390","Q12884","Expressed in the granulation tissue of healing wounds and on reactive stromal fibroblast in epithelial cancers"
"391","Q12884","Expressed in activated fibroblast-like synoviocytes from inflamed synovial tissues"
"392","Q12884","Expressed in activated hepatic stellate cells (HSC) and myofibroblasts from cirrhotic liver, but not detected in normal liver"
"393","Q12884","Expressed in glioma cells (at protein level)"
"394","Q12884","Expressed in glioblastomas and glioma cells"
"395","Q12884","Isoform 1 and isoform 2 are expressed in melanoma, carcinoma and fibroblast cell lines"
"396","Q13007","Up-regulated in melanoma cells induced to terminally differentiate."
"397","Q13093","Plasma."
"398","Q13231","Detected in spleen"
"399","Q13231","Secreted by cultured macrophages"
"400","Q13241","Natural killer cells."
"401","Q13261","Expressed in neutrophils (at protein level) "
"402","Q13261","Expressed in fetal brain with higher expression in the hippocampus and cerebellum than in cortex and thalamus "
"403","Q13261","Higher levels of soluble sIL-15RA form in comparison with membrane-bound forms is present in all brain structures "
"404","Q13261","Isoforms 1, 3, 4, 5, 6, 7, 8 and 9: Widely expressed "
"405","Q13291","Constitutively expressed on peripheral blood memory T-cells, T-cell clones, immature thymocytes and a proportion of B-cells, and is rapidly induced on naive T-cells after activation "
"406","Q13291","Activated B-cells express isoform 1, isoform 3 and a cytoplasmic isoform "
"407","Q13291","Isoform 4 is expressed in B-cells, primary T-cells, dendritic cells and macrophages"
"408","Q13291","Isoform 4 is expressed in tumors of the central nervous system "
"409","Q13332","Detected in peripheral blood plasmacytoid dendritic cells (at protein level) "
"410","Q13332","Detected in all tissues tested except for placenta and liver "
"411","Q13332","Detected in peripheral blood plasmacytoid dendritic cells "
"412","Q13444","Expressed in colon and small intestine"
"413","Q13444","Expressed in airway smooth muscle and glomerular mesangial cells (at protein level)"
"414","Q13444","Ubiquitously expressed"
"415","Q13444","Overexpressed in atherosclerotic lesions"
"416","Q13444","Constitutively expressed in cultured endothelium and smooth muscle"
"417","Q13444","Expressed in chondrocytes"
"418","Q13444","Expressed in airway smooth muscle and glomerular mesangial cells"
"419","Q13451","Widely expressed, enriched in testis compared to other tissues."
"420","Q13478","Highly expressed in leukocytes, spleen, lung"
"421","Q13478","Also expressed, but at lower levels, in liver, small intestine, colon, prostate, thymus, placenta, and heart"
"422","Q13478","Specifically coexpressed with IL18R1 in Th1 cells "
"423","Q13651","Primarily expressed in hematopoetic cells including B-cells, T-cells, NK cells, monocytes and macrophages"
"424","Q13651","Not expressed in non-hematopoetic cells such as fibroblasts or endothelial cells."
"425","Q13740","Detected on hematopoietic stem cells derived from umbilical cord blood "
"426","Q13740","Detected on lymph vessel endothelial cells, skin and tonsil "
"427","Q13740","Detected on peripheral blood monocytes "
"428","Q13740","Detected on monocyte-derived dendritic cells (at protein level) "
"429","Q13740","Detected at low levels in spleen, placenta, liver "
"430","Q13740","Expressed by activated T-cells, B-cells, monocytes and thymic epithelial cells "
"431","Q13740","Isoform 1 and isoform 3 are detected in vein and artery endothelial cells, astrocytes, keratinocytes and artery smooth muscle cells "
"432","Q13740","Expressed by neurons in the brain"
"433","Q13740","Restricted expression in tumor cell lines"
"434","Q13740","Detected in highly metastasizing melanoma cell lines "
"435","Q14393","Plasma"
"436","Q14393","Isoform 1 and isoform 2 are widely expressed, isoform 1 being expressed at higher levels than isoform 2 in most tissues"
"437","Q14393","Isoform 2 is the predominant form in spleen"
"438","Q14515","Highly expressed in lymph node, brain, heart, lung, skeletal muscle, ovary, small intestine, and colon, with lower levels in placenta, pancreas, testis, spleen, and thymus, and no expression in kidney, liver, and peripheral blood leukocytes."
"439","Q14767","Expressed in the aorta (at protein level)"
"440","Q14767","Expressed in lung, weakly expressed in heart, placenta, liver and skeletal muscle"
"441","Q14790","Isoform 1, isoform 5 and isoform 7 are expressed in a wide variety of tissues"
"442","Q14790","Highest expression in peripheral blood leukocytes, spleen, thymus and liver"
"443","Q14790","Barely detectable in brain, testis and skeletal muscle."
"444","Q14956","Widely expressed, but very low expression, if any, in the brain "
"445","Q14956","Expressed in the epidermis with higher levels in melanocytes compared with keratinocytes and Langerhans cells (at protein level) "
"446","Q14956","Expressed in peripheral blood, but not bone marrow mononuclear cells "
"447","Q14956","Expressed in tissue macrophages, including liver Kuppfer cells and lung alveolar macrophages, in podocytes and in some cells of the ciliary body of the eye (at protein level) "
"448","Q14956","May be overexpressed in various cancers, including melanoma and glioblastoma multiforme "
"449","Q15126","Heart, liver, skeletal muscle, kidney, and pancreas"
"450","Q15126","Lower level in brain, placenta and lung"
"451","Q15485","Expressed by the liver and secreted in plasma."
"452","Q15582","Highly expressed in the corneal epithelium "
"453","Q15582","Expressed in heart, placenta, lung, liver, skeletal muscle, kidney and pancreas "
"454","Q16552","Restricted to activated memory T-cells."
"455","Q16619","Highly expressed in heart, skeletal muscle, prostate and ovary"
"456","Q16619","Lower levels in lung, kidney, pancreas, thymus, testis and small intestine"
"457","Q16619","Little or no expression in brain, placenta, liver, spleen, colon or peripheral blood leukocytes."
"458","Q16627","Expressed constitutively in several normal tissues: spleen, liver, skeletal and heart muscle, gut, and bone marrow, present at high concentrations (1-80 nM) in plasma"
"459","Q16663","Most abundant in heart, skeletal muscle and adrenal gland"
"460","Q16663","Lower levels in placenta, liver, pancreas and bone marrow"
"461","Q16663","CCL15(22-92), CCL15(25-92) and CCL15(29-92) are found in high levels in synovial fluids from rheumatoid patients"
"462","Q16790","Expressed primarily in carcinoma cells lines"
"463","Q16790","Expression is restricted to very few normal tissues and the most abundant expression is found in the epithelial cells of gastric mucosa."
"464","Q16853","Strongly expressed on the high endothelial venules of peripheral lymph nodes and on hepatic endothelia"
"465","Q16853","Also highly expressed in appendix, lung and small intestine"
"466","Q16853","Expressed also in adipose tissue, in bone marrow, colon, heart, kidney, ovary, pancreas, placenta, prostate, skeletal muscle, spleen and testis"
"467","Q16853","Isoform 2 seems to be the predominant transcript in fetal kidneys, fetal cartilage and fetal tonsils"
"468","Q16853","The highest relative expression of isoform 2 occurs in skeletal muscle, heart, pancreas, kidney, and lung"
"469","Q29980","Widely expressed with the exception of the central nervous system where it is absent"
"470","Q29980","Expressed in many, but not all, epithelial tumors of lung, breast, kidney, ovary, prostate and colon"
"471","Q29980","In hepatocellular carcinomas, expressed in tumor cells but not in surrounding non-cancerous tissue"
"472","Q29983","Widely expressed with the exception of the central nervous system where it is absent"
"473","Q29983","Expressed predominantly in gastric epithelium and also in monocytes, keratinocytes, endothelial cells, fibroblasts and in the outer layer of Hassal's corpuscles within the medulla of normal thymus"
"474","Q29983","In skin, expressed mainly in the keratin layers, basal cells, ducts and follicles"
"475","Q29983","Also expressed in many, but not all, epithelial tumors of lung, breast, kidney, ovary, prostate and colon"
"476","Q29983","In thyomas, overexpressed in cortical and medullar epithelial cells"
"477","Q29983","Tumors expressing MICA display increased levels of gamma delta T-cells"
"478","Q5JZY3","Mainly expressed in testis"
"479","Q5T2D2","Detected in cultured B-cells, T-cell leukemia and monocyte leukemia"
"480","Q5T2D2","Expressed constitutively on CD8 T-cells and induced on CD4 T-cells after activation"
"481","Q5T4W7","Ubiquitous"
"482","Q5T4W7","Expressed at high levels in peripheral tissues including prostate, placenta, pancreas, heart, kidney, pituitary gland, lung and testis"
"483","Q5T4W7","Expressed at low levels in the brain"
"484","Q6EMK4","Expressed at highest levels in aorta, at intermediate levels in kidney and placenta and at lowest levels in brain, heart, liver, lung and skeletal muscle"
"485","Q6EMK4","Within the aorta, the strongest expression is found in the tunica media of the proximal ascending aorta, the descending thoracic aorta, the abdominal aorta and the coronary arteries"
"486","Q6EMK4","Within the kidney, expression is found in the interstitial cells"
"487","Q6UWL6","Highly expressed in beta-cells of the pancreatic islets"
"488","Q6UX27","Expressed on myeloid (neutrophils, eosinophils and monocytes) but not on lymphoid cells"
"489","Q86VB7","Expressed in monocytes and mature macrophages such as Kupffer cells in the liver, red pulp macrophages in the spleen, cortical macrophages in the thymus, resident bone marrow macrophages and meningeal macrophages of the central nervous system"
"490","Q86VB7","Expressed also in blood"
"491","Q86VB7","Isoform 1 is the lowest abundant in the blood"
"492","Q86VB7","Isoform 2 is the lowest abundant in the liver and the spleen"
"493","Q86VB7","Isoform 3 is the predominant isoform detected in the blood"
"494","Q8IX05","Expressed at moderate levels in monocytes, myeloid blood dendritic cells and granulocytes and at low levels in plasmacytoid blood dendritic cells, monocyte-derived ma crophages and monocyte-derived dendritic cells, with no expression detected in T-lymphocytes, B-lymphocytes and natural killer cells (at protein level)"
"495","Q8IX05","Expressed widely in different tissues, with highest expression levels in liver, lung, peripheral blood leukocytes and spleen, and lowest levels in neuronal tissues, skeletal muscle and ovary"
"496","Q8IX05","Isoform 2 and isoform 3 are expressed in malignant Hodgkin lymphoma cells called Hodgkin and Reed-Sternberg (HRS) cells"
"497","Q8IXJ6","Isoform 1 is expressed in heart, liver and skeletal muscle, weakly expressed in the cortex"
"498","Q8IXJ6","Isoform 2 is strongly expressed in the cortex, weakly expressed in heart and liver"
"499","Q8IXJ6","Weakly expressed in several malignancies including breast, liver, brain, kidney and prostate cancers compared to normal tissues"
"500","Q8IXJ6","Weakly expressed in glioma cell lines compared to normal brain tissues (at protein level)"
"501","Q8IXJ6","Widely expressed"
"502","Q8IXJ6","Highly expressed in heart, brain and skeletal muscle, while it is weakly expressed in placenta and lung"
"503","Q8IXJ6","Down-regulated in many gliomas suggesting that it may act as a tumor suppressor gene in human gliomas possibly through the regulation of microtubule network"
"504","Q8N423","Expressed in monocytes and at lower levels in myeloid and plasmacytoid dendritic cells"
"505","Q8N423","Expressed in tolerogenic IL10-producing dendritic cells "
"506","Q8N423","Expressed in myeloid-derived suppressor cells during pregnancy "
"507","Q8N423","Detected at low levels in natural killer (NK) cells"
"508","Q8N423","Expressed in B cells"
"509","Q8N474","Widely expressed"
"510","Q8N474","Absent from lung, liver and peripheral blood leukocytes"
"511","Q8N474","Highest levels in heart and fetal kidney"
"512","Q8N474","Also expressed in testis, ovary, fetal brain and lung, leiomyomal cells, myometrial cells and vascular smooth muscle cells"
"513","Q8N474","Expressed in foreskin fibroblasts and in keratinocytes"
"514","Q8N6P7","Expressed in colon, liver, lung, pancreas and kidney"
"515","Q8N6P7","No expression in immune cells such as monocytes, T-cells, and NK-cells"
"516","Q8N6P7","Expressed in keratinocytes of normal skin as well as in psoriatic skin lesion"
"517","Q8N6P7","Detected in normal blood brain barrier endothelial cells as well as in multiple sclerosis lesions; Strongly expressed on central nervous system vessels within infiltrated multiple sclerosis lesions"
"518","Q8N6P7","Overexpressed in synovial fluid cells from rheumatoid arthritis and spondyloarthropathy patients"
"519","Q8NBP7","Expressed in neuro-epithelioma, colon carcinoma, hepatic and pancreatic cell lines, and in Schwann cells."
"520","Q8NFT8","Expressed in brain, spinal cord and adrenal gland"
"521","Q8NHL6","Expressed in B cells, monocytes and various dendritic cell (DC) subsets including myeloid, plasmacytoid and tolerogenic DCs (at protein level) "
"522","Q8NHL6","Expressed in decidual macrophages (at protein level) "
"523","Q8NHL6","Expressed in decidual NK cells (at protein level) "
"524","Q8TCT1","Expressed at sites of mineralization in bone and cartilage"
"525","Q8TCT1","Highly expressed in osteoblast cell line SaOS-2 which produces a mineralized matrix, but not in MG-63 cell line, which do not mineralize"
"526","Q92583","Expressed at high levels in thymus and at low levels in the lung, colon and small intestine."
"527","Q92597","Ubiquitous; expressed most prominently in placental membranes and prostate, kidney, small intestine, and ovary tissues"
"528","Q92597","Also expressed in heart, brain, skeletal muscle, lung, liver and pancreas"
"529","Q92597","Low levels in peripheral blood leukocytes and in tissues of the immune system"
"530","Q92597","Expressed mainly in epithelial cells"
"531","Q92597","Also found in Schwann cells of peripheral neurons"
"532","Q92597","Reduced expression in adenocarcinomas compared to normal tissues"
"533","Q92597","In colon, prostate and placental membranes, the cells that border the lumen show the highest expression"
"534","Q92876","In fluids, highest levels found in milk of lactating women followed by cerebrospinal fluid, nipple aspirate fluid and breast cyst fluid"
"535","Q92876","Also found in serum, seminal plasma and some amniotic fluids and breast tumor cytosolic extracts"
"536","Q92876","Not detected in urine"
"537","Q92876","At the tissue level, highest concentrations found in glandular tissues such as salivary glands followed by lung, colon, fallopian tube, placenta, breast, pituitary and kidney"
"538","Q92876","Not detected in skin, spleen, bone, thyroid, heart, ureter, liver, muscle, endometrium, testis, pancreas, seminal vesicle, ovary, adrenals and prostate"
"539","Q92876","In brain, detected in gray matter neurons (at protein level)"
"540","Q92876","Colocalizes with pathological inclusions such as Lewy bodies and glial cytoplasmic inclusions"
"541","Q92876","Overexpressed in primary breast tumors but not expressed in metastatic tumors"
"542","Q92956","Widely expressed, with the highest expression in lung, spleen and thymus"
"543","Q92956","Expressed in a subpopulation of B cells and monocytes "
"544","Q92956","Expressed in naive T cells "
"545","Q969D9","Isoform 1 is expressed in a number of tissues including heart, liver and prostate"
"546","Q969D9","Isoform 2 is the predominant form in keratinocytes of oral mucosa, skin and in salivary glands"
"547","Q969D9","It is secreted into saliva"
"548","Q969M7","Widely expressed (at protein level)"
"549","Q96B36","Widely expressed with highest levels of expression in liver and heart"
"550","Q96B36","Expressed at higher levels in cancer cell lines (e.g"
"551","Q96B36","A-549 and HeLa) than in normal cell lines (e.g"
"552","Q96B36","HEK293)"
"553","Q96EK5","Highly expressed in heart, brain, ovary, testis, spinal cord and all specific brain regions examined"
"554","Q96EK5","Moderate expressed at intermediate level in all other adult tissues examined, as well as in fetal liver and brain"
"555","Q96EK5","Not expressed in blood leukocytes"
"556","Q96EP0","Expressed in both normal and transformed breast epithelial cell lines"
"557","Q96F46","Widely expressed"
"558","Q96IU4","Ubiquitous"
"559","Q96IU4","Detected in spleen, thymus, prostate, testis, ovary, small intestine, colon, peripheral blood leukocyte, heart, placenta, lung, liver, skeletal muscle, pancreas and kidney"
"560","Q96KN2","Found in serum and adult nervous central system"
"561","Q96KN2","Absent in serum from patients with homocarnosinosis"
"562","Q96PL1","Highly expressed in lung and trachea "
"563","Q96PL1","Detected throughout the airway epithelium in lung, with slightly higher expression in large airways "
"564","Q96PL1","Found in lung submucosal gland acinus where it localizes to serous-like cells "
"565","Q96PL1","Probably expressed in club/Clara cells of the bronchioles "
"566","Q96PL1","Not detected in other tissues tested "
"567","Q96RJ3","Highly expressed in spleen and lymph node, and in resting B-cells"
"568","Q96RJ3","Detected at lower levels in activated B-cells, resting CD4+ T-cells, in thymus and peripheral blood leukocytes."
"569","Q99426","Found in most tissues."
"570","Q99616","Widely expressed"
"571","Q99616","Found in small intestine, thymus, colon, lung, trachea, stomach and lymph node"
"572","Q99616","Low levels seen in the pulmonary artery smooth muscle cells."
"573","Q99650","Expressed in keratinocytes (at protein level) "
"574","Q99650","Expressed at relatively high levels in all neural cells as well as fibroblast and epithelial cells "
"575","Q99727","Abundant in heart and present at low levels in many other tissues."
"576","Q99731","Expressed at high levels in the lymph nodes, thymus and appendix"
"577","Q99731","Intermediate levels seen in colon and trachea, while low levels found in spleen, small intestine, lung, kidney and stomach."
"578","Q99969","Expressed at the highest levels in placenta, liver, and white adipose tissue (WAT), and to a lesser extent in many other tissues such as lung, brown adipose tissue, heart, ovary, kidney, skeletal muscle and pancreas"
"579","Q99969","Within WAT, expression is enriched in adipocytes as compared to the stromal vascular fraction"
"580","Q99969","Expression and secretion increases dramatically with adipogenesis"
"581","Q99969","Highly expressed in skin (basal and suprabasal layers of the epidermis, hair follicles and endothelial cells)"
"582","Q99969","Expression is elevated in numerous metabolic and inflammatory diseases including psoriasis, obesity, type 2 diabetes, metabolic syndrome and cardiovascular disease"
"583","Q99988","Highly expressed in placenta, with lower levels in prostate and colon and some expression in kidney "
"584","Q99988","Detected in plasma (at protein level) "
"585","Q9BQ51","Highly expressed in heart, placenta, pancreas, lung and liver and weakly expressed in spleen, lymph nodes and thymus"
"586","Q9BW30","Expressed in endometrium during the mid-secretory phase (LH + 7) (at protein level)"
"587","Q9BXR6","Expressed by the liver and secreted in plasma."
"588","Q9BZW8","Expressed in spleen, PBL, followed by lung, liver, testis and small intestine"
"589","Q9BZW8","Expressed in all natural killer (NK) cells, monocytes and basophils, TCR-gamma/delta+ T-cells, monocytes, basophils, and on a subset of CD8(+) T-cells"
"590","Q9GZV9","Expressed in osteogenic cells particularly during phases of active bone remodeling"
"591","Q9GZV9","In adult trabecular bone, expressed in osteocytes and flattened bone-lining cells (inactive osteoblasts)"
"592","Q9H0C8","Widely expressed"
"593","Q9H0C8","Highest levels expressed in striated muscle"
"594","Q9H0C8","Much lower levels evident in various smooth muscle tissues"
"595","Q9H2A7","Expressed in T-cell areas"
"596","Q9H2A7","Expressed in spleen, lymph nodes, lung, kidney, small intestine and thymus"
"597","Q9H2A7","Weak expression in heart and liver and no expression in brain and bone marrow."
"598","Q9H4F8","Widely expressed in many tissues with a strongest signal in ovary"
"599","Q9H4F8","No expression in spleen"
"600","Q9H5V8","Highly expressed in mitotic cells with low expression during interphase"
"601","Q9H5V8","Detected at highest levels in skeletal muscle and colon with lower levels in kidney, small intestine, placenta and lung"
"602","Q9H5V8","Up-regulated in a number of human tumor cell lines, as well as in colorectal cancer, breast carcinoma and lung cancer"
"603","Q9H5V8","Also expressed in cells with phenotypes reminiscent of mesenchymal stem cells and neural stem cells"
"604","Q9HBE4","Expressed in activated CD4-positive T-cells but not in CD8-positive T-cells, B-cells, or monocytes"
"605","Q9HCB6","Highest expression in lung, lower expression in brain, heart, kidney, liver and testis, and lowest expression in pancreas, skeletal muscle and ovary"
"606","Q9HCB6","Not expressed in spleen"
"607","Q9HCN6","Megakaryocytes and platelets"
"608","Q9HD89","Expressed in white adipose tissue (at protein level) "
"609","Q9HD89","Widely expressed, with particularly strong expression in lung, bone marrow, breast and peripheral blood "
"610","Q9HD89","Expressed strongly in bone marrow and at lower levels in lung, but not detected in other tissues "
"611","Q9HD89","Isoform 2 is detected in adipose tissue, bone marrow, brain, lung, peripheral blood, placenta and thymus "
"612","Q9NP84","Highly expressed in heart, placenta and kidney"
"613","Q9NP84","Intermediate expression in lung, skeletal muscle and pancreas."
"614","Q9NPY3","Highly expressed in endothelial cells, platelets, cells of myeloid origin, such as monocytes and neutrophils"
"615","Q9NPY3","Not expressed in cells of lymphoid origin."
"616","Q9NQ76","Expressed by osteoblasts "
"617","Q9NQ76","Expressed by stem cells in dental pulp "
"618","Q9NQ76","Expressed by mesenchymal cells in dental papilla and dental pulp "
"619","Q9NQ76","Expressed in teeth, specifically in decidious dentin "
"620","Q9NQ76","Expressed in ondotoblasts "
"621","Q9NQ76","Expressed in salivary glands "
"622","Q9NQ76","Secreted from oncogenic hypophosphatemic tumors "
"623","Q9NQ79","Expressed in the interterritorial matrix of articular deep zone cartilage (at protein level)"
"624","Q9NQ79","Isoform 1 and isoform 2 are expressed in brain"
"625","Q9NQ79","Isoform 1 is detected in lung and chondrocytes"
"626","Q9NQ79","Detected in cartilage, bone, cultured chondrocytes and lung, and at low levels in heart"
"627","Q9NQ79","Not detected in osteoblasts"
"628","Q9NRJ3","Preferentially expressed by epithelial cells of diverse tissues including normal and pathological colon, salivary gland, mammary gland, trachea and rectum"
"629","Q9NRJ3","Also found in prostate, spleen, thyroid, psoriasis skin and in lower levels in peripheral blood leukocytes, small intestine, Peyer patches, stomach and normal skin."
"630","Q9NYY1","Expressed in most tissues and five major cell types: epithelial cells (primarily skin, buccal mucosa, tongue, nasal mucosa, lung, ureter, breast, prostate, fallopian tube, and adrenal gland), myoepithelial cells (mainly prostate), endothelial cells (mainly in small vessels or capillaries), macrophages, and skeletal muscle"
"631","Q9NYY1","Isoform 2 was detected in the lung tissue only"
"632","Q9NZQ7","Highly expressed in the heart, skeletal muscle, placenta and lung"
"633","Q9NZQ7","Weakly expressed in the thymus, spleen, kidney and liver"
"634","Q9NZQ7","Expressed on activated T- and B-cells, dendritic cells, keratinocytes and monocytes"
"635","Q9UBR2","Widely expressed"
"636","Q9UGM5","Liver and testis."
"637","Q9UHF4","Widely expressed with highest levels in skin and testis and high levels in brain"
"638","Q9UHF4","Highly expressed in psoriatic skin"
"639","Q9UK53","Isoform 2 was expressed in all normal tissues and cells examined, as well as in all breast cancer and melanoma cell lines examined"
"640","Q9UK53","Isoform 3 was expressed in testis, liver, and kidney, weakly expressed in colon and brain and not expressed in breast and cultured melanocytes"
"641","Q9UK53","Isoform 4 was highly expressed in testis and weakly expressed in brain, but not expressed in breast, colon, kidney, melanocytes, breast cancer or melanoma cell lines"
"642","Q9UM47","Ubiquitously expressed in fetal and adult tissues."
"643","Q9UQV4","Detected in tonsil interdigitating dendritic cells, in spleen, lymph node, Peyer's patches in the small instestine, in thymus medulla and in B-cells (at protein level)"
"644","Q9UQV4","Expressed in lymphoid organs and dendritic cells"
"645","Q9UQV4","Expressed in lung"
"646","Q9UQV4","Up-regulated in carcinomas of the esophagus, colon, rectum, ureter, stomach, breast, fallopian tube, thyroid and parotid tissues"
"647","Q9Y275","Abundantly expressed in peripheral blood Leukocytes and is specifically expressed in monocytes and macrophages"
"648","Q9Y275","Also found in the spleen, lymph node, bone marrow, T-cells and dendritic cells"
"649","Q9Y275","A lower expression seen in placenta, heart, lung, fetal liver, thymus, and pancreas"
"650","Q9Y275","Isoform 2 is expressed in many myeloid cell lines"
"651","Q9Y4X3","Testis, thymus, placenta, ovary and skin."
"652","Q9Y5C1","Expressed principally in liver"
"653","Q9Y5C1","Weakly expressed in kidney"
"654","Q9Y5C1","Binds to adipocytes"
"655","Q9Y5C1","Increased expression and colocalization with activated ITGB3 in glomeruli of patients with nephrotic syndrome showing effaced podocyte foot processes (at protein level)"
"656","Q9Y5P4","Widely expressed."
"657","Q9Y5Y7","Mainly expressed in endothelial cells lining lymphatic vessels"
"658","Q9Y624","Expressed in endothelium, epithelium and leukocytes (at protein level)"
"659","Q9Y653","Widely distributed with highest levels found in thyroid gland, brain and heart"
"660","Q9Y653","Expressed in a great number of tumor cells"
"661","Q9Y653","Expression is down-regulated in different tumors from highly metastatic cells"
"662","Q9Y6D9","Expressed weakly at G0/G1 and highly at late S and G2/M phase."
